iter	Passed	Remaining
1318	11574	76178
1319	11583	76168
1320	11591	76153
1321	11599	76144
1322	11608	76132
1323	11616	76124
1324	11625	76114
1325	11633	76103
1326	11642	76095
1327	11650	76078
1328	11658	76065
1329	11667	76055
1330	11675	76045
1331	11684	76040
1332	11692	76023
1333	11700	76008
1334	11709	75999
1335	11716	75982
1336	11724	75971
1337	11733	75962
1338	11742	75952
1339	11750	75941
1340	11759	75933
1341	11767	75920
1342	11775	75906
1343	11784	75894
1344	11792	75887
1345	11802	75880
1346	11811	75873
1347	11818	75858
1348	11828	75856
1349	11836	75843
1350	11846	75837
1351	11855	75830
1352	11863	75819
1353	11872	75812
1354	11881	75805
1355	11889	75793
1356	11898	75781
1357	11906	75771
1358	11915	75760
1359	11923	75747
1360	11931	75736
1361	11939	75724
1362	11948	75716
1363	11957	75707
1364	11965	75694
1365	11974	75684
1366	11981	75667
1367	11989	75653
1368	11997	75640
1369	12006	75630
1370	12014	75618
1371	12023	75609
1372	12032	75601
1373	12041	75594
1374	12049	75583
1375	12058	75577
1376	12067	75568
1377	12075	75557
1378	12084	75548
1379	12093	75542
1380	12102	75534
1381	12111	75523
1382	12118	75508
1383	12127	75500
1384	12136	75491
1385	12146	75490
1386	12154	75479
1387	12162	75466
1388	12171	75455
1389	12179	75441
1390	12186	75425
1391	12195	75415
1392	12203	75401
1393	12211	75386
1394	12219	75372
1395	12229	75374
1396	12238	75364
1397	12246	75352
1398	12254	75342
1399	12262	75326
1400	12271	75316
1401	12279	75308
1402	12288	75298
1403	12296	75285
1404	12304	75272
1405	12312	75258
1406	12322	75255
1407	12330	75243
1408	12338	75233
1409	12346	75219
1410	12355	75208
1411	12364	75200
1412	12373	75193
1413	12381	75181
1414	12389	75168
1415	12397	75158
1416	12407	75153
1417	12415	75139
1418	12424	75131
1419	12432	75122
1420	12442	75121
1421	12451	75109
1422	12459	75099
1423	12468	75092
1424	12478	75088
1425	12487	75080
1426	12496	75072
1427	12505	75068
1428	12514	75058
1429	12522	75047
1430	12531	75039
1431	12540	75035
1432	12549	75022
